Time;Title;Description;Percentage
1200000000;;Primer organismo multicelular;0
934000000;Plants;Aparecen plantas;0,2217
750000000;Sponges;Primeros animales (esponjas);0,375
530000000;Arthopods;Primeros animales terrestres (artrópodos);0,5583
318000000;Reptiles;Reptiles;0,735
225000000;Mammals;Mamíferos;0,8125
65000000;Asteroid I.;Impacto de asteroide extingue dinosaurios, pterosaurios y grandes reptiles marinos, permitiendo la evolución explosiva de grandes mamíferos y aves;0,9458
25000000;Apes;asdads ;0,98
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;